Ntime,Time,Open Price,Closing Price,High price,Low Price,Volume,MACD,CCI,ATR,BOLL_MID,EMA20,MA5,MA10,MTM6,MTM12,ROC,SMI,WVAD,US dollar Index,Interbank Offered Rate
20110214,734548,10689.65,10725.54,10725.54,10674.44,1405917952,78.2382826,126.2064153,119.89,10486.38385,10498.78565,10635.408,10512.17,365.2,288.23,2.7615353,0.0454634452,-18409517.97,78.58,0.13615
20110215,734549,10738.81,10746.67,10760.99,10712.49,1427041664,88.43683147,117.3388236,48.5,10494.72654,10522.39368,10666.334,10563.045,508.75,472.15,4.595348493,0.04393640076,-21908806.48,78.59,0.13615
20110216,734550,10758.86,10808.29,10842.31,10752.61,1891024000,100.334876,124.6404916,95.64,10505.00538,10549.6219,10700.796,10616.424,533.79,463.18,4.477284437,0.03246859586,-1248.358472,78.23,0.13615
20110217,734551,10882.91,10836.64,10891.6,10820.48,1737076352,110.7748268,124.4185185,83.31,10517.54231,10576.95696,10744.558,10654.352,218.81,372.22,3.557005548,0.0373990462,-10226016.85,77.97,0.13615
20110218,734552,10829.15,10842.8,10862.43,10810.12,1513191296,118.1832802,106.9436674,52.31,10530.23462,10602.27534,10791.988,10695.496,237.15,440.9,4.238648708,0.02760172649,-5506833.115,77.62,0.13615
20110221,734555,10820.78,10857.53,10859.39,10789.41,1364301312,123.8158488,97.48426114,69.98,10540.53346,10626.58531,10818.386,10726.897,251.88,378.87,3.61563406,0.0244521544,11076467,77.69,0.13615
20110222,734556,10745.52,10664.7,10761.22,10639.78,1789458432,111.4353729,12.01179077,217.75,10546.905,10630.21528,10801.992,10734.163,-60.84,304.36,2.937741425,0.002692996521,-8835621.913,77.82,0.13615
20110223,734557,10588.82,10579.1,10666.72,10569.93,1822635648,93.6371611,-50.41935009,96.79,10549.83731,10625.34716,10756.154,10728.475,-167.57,341.18,3.332512854,-0.003647637983,-7464392.758,77.38,0.13615
20110224,734558,10533.2,10452.71,10542.7,10428.38,1849260288,68.54320982,-144.5089311,150.72,10547.28846,10608.90552,10679.368,10711.963,-355.58,178.21,1.734488296,-0.01442061543,-11757860.18,77.1,0.13615
20110225,734559,10475.78,10526.76,10532.21,10454.46,1547043200,54.00870999,-117.7400428,79.5,10546.12154,10601.08214,10616.16,10704.074,-309.88,-91.07,-0.8577082134,-0.01853333259,15095631.44,77.25,0.13615
20110228,734562,10504.54,10624.09,10628.76,10448.83,1865984896,49.77001399,-72.21902684,179.93,10553.30538,10603.27337,10569.472,10693.929,-218.71,18.44,0.1738695884,-0.01140632401,22351980.71,76.9,0.13615
20110301,734563,10676.24,10754.03,10754.03,10672.91,1564337280,56.24750272,27.83151329,129.94,10571.74808,10617.63114,10587.338,10694.665,-103.5,148.38,1.399065592,-0.00502022059,27044340.27,77.02,0.13615
20110302,734564,10609.28,10492.38,10629.5,10492.38,1533395584,39.80909643,-84.21989244,261.65,10577.41231,10605.70246,10569.994,10663.074,-172.32,-233.16,-2.17387656,-0.03176814954,15915849.05,76.65,0.13615
20110303,734565,10529.77,10586.02,10593.34,10522.4,1223843840,33.94619581,-63.36350054,100.96,10582.08923,10603.82794,10596.656,10638.012,6.92,-160.65,-1.49488167,-0.02368207474,23222054.86,76.46,0.13615
20110304,734566,10730.91,10693.66,10768.43,10664.37,1483275520,37.55257059,20.11907978,182.41,10593.31077,10612.38337,10630.036,10623.098,240.95,-114.63,-1.0605748,-0.0150927513,28131891.13,76.38,0.13615
