Ntime,Matlab_time,Close
20121102,735175,22109
20121105,735178,22050
20121106,735179,21955
20121107,735180,22125
20121108,735181,21550
20121109,735182,21314
20121112,735185,21404
20121113,735186,21176
20121114,735187,21420
20121115,735188,21169
20121116,735189,21124
20121119,735192,21240
20121120,735193,21268
20121121,735194,21530
20121122,735195,21741
20121123,735196,21934
20121126,735199,21883
20121127,735200,21822
20121128,735201,21711
20121129,735202,21891
20121130,735203,22023
20121203,735206,21723
20121204,735207,21742
20121205,735208,22340
20121206,735209,22240
20121207,735210,22272
20121210,735213,22257
20121211,735214,22296
20121212,735215,22517
20121213,735216,22454
20121214,735217,22639
20121217,735220,22475
20121218,735221,22507
20121219,735222,22615
20121220,735223,22632
20121221,735224,22465
20121224,735227,22556
20121227,735230,22666
20121228,735231,22659
20121231,735234,22674
20130102,735236,23226
20130103,735237,23449
20130104,735238,23300
20130107,735241,23329
20130108,735242,23152
20130109,735243,23230
20130110,735244,23340
20130111,735245,23305
20130114,735248,23383
20130115,735249,23381
20130116,735250,23360
20130117,735251,23346
20130118,735252,23576
20130121,735255,23591
20130122,735256,23672
20130123,735257,23618
20130124,735258,23607
20130125,735259,23597
20130128,735262,23670
20130129,735263,23668
20130130,735264,23843
20130131,735265,23776
20130201,735266,23756
20130204,735269,23638
20130205,735270,23085
20130206,735271,23246
20130207,735272,23201
20130208,735273,23242
20130214,735279,23413
20130215,735280,23423
20130218,735283,23333
20130219,735284,23161
20130220,735285,23221
20130221,735286,22858
20130222,735287,22754
20130225,735290,22851
20130226,735291,22560
20130227,735292,22566
20130228,735293,22972
20130301,735294,22853
20130304,735297,22468
20130305,735298,22419
20130306,735299,22640
20130307,735300,22686
20130308,735301,23102
20130311,735304,23056
20130312,735305,22792
20130313,735306,22447
20130314,735307,22516
20130315,735308,22337
20130318,735311,22047
20130319,735312,21961
20130320,735313,22255
20130321,735314,22262
20130322,735315,22140
20130325,735318,22261
20130326,735319,22275
20130327,735320,22448
20130328,735321,22316
20130402,735326,22389
20130403,735327,22346
20130405,735329,21656
20130408,735332,21652
20130409,735333,21828
20130410,735334,21827
20130411,735335,22135
20130412,735336,22120
20130415,735339,21770
20130416,735340,21667
20130417,735341,21511
20130418,735342,21525
20130419,735343,22004
20130422,735346,22021
20130423,735347,21793
20130424,735348,22136
20130425,735349,22420
20130426,735350,22557
20130429,735353,22559
20130430,735354,22604
20130502,735356,22594
20130503,735357,22547
20130506,735360,22761
20130507,735361,22911
20130508,735362,23044
20130509,735363,23119
20130510,735364,23198
20130513,735367,22880
20130514,735368,22855
20130515,735369,22928
20130516,735370,22973
20130520,735374,23371
20130521,735375,23289
20130522,735376,23227
20130523,735377,22521
20130524,735378,22583
20130527,735381,22645
20130528,735382,22866
20130529,735383,22527
20130530,735384,22464
20130531,735385,22173
20130603,735388,21992
20130604,735389,21995
20130605,735390,21826
20130606,735391,21570
20130607,735392,21353
20130610,735395,21394
20130611,735396,21163
20130613,735398,20800
20130614,735399,20873
20130617,735402,21131
20130618,735403,21160
20130619,735404,20938
20130620,735405,20285
20130621,735406,20201
20130624,735409,19798
20130625,735410,19824
20130626,735411,20299
20130627,735412,20549
20130628,735413,20729
20130702,735417,20632
20130703,735418,20170
20130704,735419,20411
20130705,735420,20799
20130708,735423,20492
20130709,735424,20756
20130710,735425,20857
20130711,735426,21412
20130712,735427,21209
20130715,735430,21215
20130716,735431,21266
20130717,735432,21325
20130718,735433,21362
20130719,735434,21334
20130722,735437,21397
20130723,735438,21894
20130724,735439,21965
20130725,735440,21899
20130726,735441,21964
20130729,735444,21846
20130730,735445,21932
20130731,735446,21864
20130801,735447,22001
20130802,735448,22148
