Date,Ntime,close price
20120612,735032,5126.45
20120613,735033,5123
20120614,735034,5054.1
20120615,735035,5147.7
20120618,735038,5058.8
20120619,735039,5110.6
20120620,735040,5122.45
20120621,735041,5173.85
20120622,735042,5151.15
20120625,735045,5109.3
20120626,735046,5125.7
20120627,735047,5139.65
20120628,735048,5149.15
20120629,735049,5297.35
20120702,735052,5295.6
20120703,735053,5305.75
20120704,735054,5322.65
20120705,735055,5344.5
20120706,735056,5327.2
20120709,735059,5279.4
20120710,735060,5358.15
20120711,735061,5322.9
20120712,735062,5251.4
20120713,735063,5240.45
20120716,735066,5206.85
20120717,735067,5198.65
20120718,735068,5223.55
20120719,735069,5257
20120720,735070,5216.6
20120723,735073,5120.4
20120724,735074,5135.35
20120725,735075,5112.55
20120726,735076,5043
20120727,735077,5123.55
20120730,735080,5216.7
20120731,735081,5240.55
20120801,735082,5256.3
20120802,735083,5246.7
20120803,735084,5241.05
20120806,735087,5296.85
20120807,735088,5347.7
20120808,735089,5354.75
20120809,735090,5350.05
20120810,735091,5345.1
20120813,735094,5371.9
20120814,735095,5406.85
20120816,735097,5382
20120817,735098,5382.35
20120821,735102,5441.9
20120822,735103,5431.1
20120823,735104,5427.15
20120824,735105,5402.7
20120827,735108,5362.4
20120828,735109,5346.05
20120829,735110,5296.6
20120830,735111,5315.05
20120831,735112,5291.65
20120903,735115,5282.9
20120904,735116,5299.4
20120905,735117,5253.35
20120906,735118,5261.1
20120907,735119,5359.1
20120908,735120,5380.2
20120910,735122,5371.65
20120911,735123,5405.35
20120912,735124,5446.95
20120913,735125,5450.7
20120914,735126,5584.9
20120917,735129,5616.7
20120918,735130,5612.25
20120920,735132,5571
20120921,735133,5707.05
20120924,735136,5681.65
20120925,735137,5683
20120926,735138,5669.85
20120927,735139,5649.5
20120928,735140,5729.55
20121001,735143,5754.15
20121003,735145,5768.25
20121004,735146,5825.7
20121005,735147,5776.55
20121008,735150,5701
20121009,735151,5723.9
20121010,735152,5672.45
20121011,735153,5739.35
20121012,735154,5686.55
20121015,735157,5702.75
20121016,735158,5651.55
20121017,735159,5669.5
20121018,735160,5736.45
20121019,735161,5688.3
20121022,735164,5724.75
20121023,735165,5695.5
20121025,735167,5705.3
20121026,735168,5699.3
20121029,735171,5702.1
20121030,735172,5628
20121031,735173,5646.1
20121101,735174,5676
20121102,735175,5739.55
20121105,735178,5739.65
20121106,735179,5766.65
20121107,735180,5793.25
20121108,735181,5765.2
20121109,735182,5720.6
20121112,735185,5711.1
20121113,735186,5680.7
20121115,735188,5649.15
20121116,735189,5580.55
20121119,735192,5589.65
20121120,735193,5583.85
20121121,735194,5622.1
20121122,735195,5640.45
20121123,735196,5633.35
20121126,735199,5642.75
20121127,735200,5732.05
20121129,735202,5825
20121130,735203,5909.05
20121203,735206,5911.6
20121204,735207,5923.65
20121205,735208,5940.45
20121206,735209,5970.65
20121207,735210,5944.9
20121210,735213,5942.45
20121211,735214,5928.4
20121212,735215,5928.25
20121213,735216,5876.45
20121214,735217,5914.9
20121217,735220,5889.35
20121218,735221,5928.9
20121219,735222,5946.9
20121220,735223,5931.15
20121221,735224,5853.4
20121224,735227,5865.55
20121226,735229,5913.75
20121227,735230,5870.1
20121228,735231,5954.55
20121231,735234,5951.75
20130101,735235,6007.5
20130102,735236,6035.65
20130103,735237,6039.55
20130104,735238,6048
20130107,735241,6023.7
20130108,735242,6043.3
20130109,735243,5998.75
20130110,735244,6003.6
20130111,735245,5977.3
20130114,735248,6057.5
20130115,735249,6081.3
20130116,735250,6019.25
20130117,735251,6054.45
20130118,735252,6074.85
20130121,735255,6096.45
20130122,735256,6061.55
20130123,735257,6069.15
20130124,735258,6019.75
20130125,735259,6073.7
20130128,735262,6077.2
20130129,735263,6049.4
20130130,735264,6060.3
20130131,735265,6034.75
20130201,735266,6036.1
20130204,735269,5996.3
20130205,735270,5974.45
20130206,735271,5972.9
20130207,735272,5961.1
20130208,735273,5921.8
20130211,735276,5921.35
20130212,735277,5941.4
20130213,735278,5936.55
20130214,735279,5900.2
20130215,735280,5892.65
20130218,735283,5904.6
20130219,735284,5953.4
20130220,735285,5963.85
20130221,735286,5853.45
20130222,735287,5853.95
20130225,735290,5857.8
20130226,735291,5767
20130227,735292,5797.9
20130228,735293,5693.05
20130301,735294,5729.95
20130304,735297,5716.85
20130305,735298,5802.8
20130306,735299,5841.35
20130307,735300,5889.4
20130308,735301,5968.3
20130311,735304,5957.4
20130312,735305,5937.25
20130313,735306,5867.75
20130314,735307,5939.75
20130315,735308,5897.1
20130318,735311,5851.4
20130319,735312,5751.9
20130320,735313,5715.5
20130321,735314,5664.45
20130322,735315,5668.4
20130325,735318,5645.05
20130326,735319,5640.35
20130328,735321,5682.55
20130401,735325,5726.55
20130402,735326,5766.6
20130403,735327,5688.1
20130404,735328,5593.2
20130405,735329,5572.05
20130408,735332,5559
20130409,735333,5500.85
20130410,735334,5563.85
20130411,735335,5594.8
20130412,735336,5535.2
20130415,735339,5568.05
20130416,735340,5696.35
20130417,735341,5694.2
20130418,735342,5783
20130422,735346,5832.85
20130423,735347,5843
20130425,735349,5916.3
20130426,735350,5887.75
20130429,735353,5918.2
20130430,735354,5929
20130502,735356,6007.4
20130503,735357,5948.25
20130506,735360,5971.3
20130507,735361,6050.3
20130508,735362,6075.2
20130509,735363,6048.95
20130510,735364,6108.35
20130511,735365,6118.7
20130513,735367,5994.45
20130514,735368,6006
20130515,735369,6161.5
20130516,735370,6178.05
20130517,735371,6196.1
20130520,735374,6164.85
20130521,735375,6116.9
20130522,735376,6104.05
20130523,735377,5966.1
20130524,735378,5985.4
20130527,735381,6083.45
20130528,735382,6109.4
20130529,735383,6090.25
20130530,735384,6124.05
20130531,735385,6000.05
20130603,735388,5959.2
20130604,735389,5932.35
20130605,735390,5938.3
20130606,735391,5936.85
20130607,735392,5895.2
20130610,735395,5893.35
20130611,735396,5801.65
20130612,735397,5771.9
20130613,735398,5705.45
20130614,735399,5805.95
20130617,735402,5847.75
20130618,735403,5812
20130619,735404,5822.7
20130620,735405,5648.45
20130621,735406,5661.85
20130624,735409,5588.3
20130625,735410,5608.3
20130626,735411,5581.1
20130627,735412,5682.35
20130628,735413,5841.45
20130701,735416,5892.2
20130702,735417,5859.05
20130703,735418,5767.85
20130704,735419,5840.1
20130705,735420,5874.95
20130708,735423,5829.25
20130709,735424,5868.35
20130710,735425,5822.05
20130711,735426,5941.35
20130712,735427,6007.25
20130715,735430,6032.6
20130716,735431,5969.7
20130717,735432,5970.85
20130718,735433,6052.4
20130719,735434,6042.55
20130722,735437,6043.55
20130723,735438,6087
20130724,735439,6002.7
20130725,735440,5907.5
20130726,735441,5925.25
20130729,735444,5877.35
20130730,735445,5797.55
20130731,735446,5781.05
20130801,735447,5762.05
20130802,735448,5705.55
20130805,735451,5723.6
20130806,735452,5573.35
20130807,735453,5554.15
20130808,735454,5589.7
20130812,735458,5621.75
20130813,735459,5711.35
20130814,735460,5748.3
20130816,735462,5505
20130819,735465,5416.75
20130820,735466,5398.25
20130821,735467,5291.6
20130822,735468,5414.3
20130823,735469,5460.7
20130826,735472,5467.1
20130827,735473,5284.8
20130828,735474,5288.95
20130829,735475,5409.05
20130830,735476,5456.75
20130902,735479,5554.6
20130903,735480,5344.55
20130904,735481,5458.05
20130905,735482,5607.15
20130906,735483,5697.8
20130910,735487,5907.15
20130911,735488,5939.65
20130912,735489,5860.45
20130913,735490,5875.9
20130916,735493,5862.25
20130917,735494,5880.5
20130918,735495,5931.45
20130919,735496,6145.75
20130920,735497,6037.5
20130923,735500,5914.4
20130924,735501,5914.35
20130925,735502,5889
20130926,735503,5882.25
20130927,735504,5888.15
20130930,735507,5791.45
20131001,735508,5828.45
20131003,735510,5966.8
20131004,735511,5950.9
20131007,735514,5943.2
20131008,735515,5959.45
20131009,735516,6048.5
20131010,735517,6059.8
20131011,735518,6130.5
20131014,735521,6143.35
20131015,735522,6110.65
20131017,735524,6071
20131018,735525,6210.45
20131021,735528,6226.15
20131022,735529,6222.65
20131023,735530,6190.3
20131024,735531,6173.8
20131025,735532,6151.55
20131028,735535,6105.3
20131029,735536,6228.95
20131030,735537,6250.9
20131031,735538,6299.15
20131101,735539,6358.7
20131103,735541,6353.05
20131105,735543,6298.8
20131106,735544,6259.15
20131107,735545,6227.3
20131108,735546,6186.6
20131111,735549,6126.85
20131112,735550,6071.55
20131113,735551,6033
20131114,735552,6088.95
20131118,735556,6217.05
20131119,735557,6230.5
20131120,735558,6149.05
20131121,735559,6018.5
20131122,735560,6015.25
20131125,735563,6133.9
20131126,735564,6071.95
20131127,735565,6069.7
20131128,735566,6091.85
20131129,735567,6225.5
20131202,735570,6263.75
20131203,735571,6248.4
20131204,735572,6199.15
20131205,735573,6279.95
20131206,735574,6303.75
20131209,735577,6391.75
20131210,735578,6369.5
20131211,735579,6343.45
20131212,735580,6264.95
20131213,735581,6197.75
20131216,735584,6179.7
20131217,735585,6160.85
20131218,735586,6249.65
20131219,735587,6177.8
20131220,735588,6292.35
20131223,735591,6302.35
20131224,735592,6281.7
20131226,735594,6278.9
20131227,735595,6372.05
20131230,735598,6334.7
20131231,735599,6354.7
20140101,735600,6358.15
20140102,735601,6257.75
20140103,735602,6251.75
20140106,735605,6229.2
20140107,735606,6195.85
20140108,735607,6197.5
20140109,735608,6184.45
20140110,735609,6178.25
20140113,735612,6285.3
20140114,735613,6256.5
20140115,735614,6331.1
20140116,735615,6329.85
20140117,735616,6261.65
20140120,735619,6320.15
20140121,735620,6326.4
20140122,735621,6353
20140123,735622,6357.8
20140124,735623,6276.15
20140127,735626,6148.05
20140128,735627,6139.4
20140129,735628,6120.8
20140130,735629,6073.7
20140131,735630,6112
20140203,735633,6039.7
20140204,735634,6037.85
20140205,735635,6048.95
20140206,735636,6048.3
20140207,735637,6075.05
20140210,735640,6064.6
20140211,735641,6072.75
20140212,735642,6099.75
20140213,735643,6005.45
20140214,735644,6058
20140217,735647,6091.2
20140218,735648,6138.8
20140219,735649,6159.05
20140220,735650,6107.95
20140221,735651,6163.95
20140224,735654,6193.2
20140225,735655,6209.05
20140226,735656,6238.8
20140228,735658,6289.25
20140303,735661,6239.45
20140304,735662,6333.85
20140305,735663,6352.3
20140306,735664,6430.1
20140307,735665,6549.7
20140310,735668,6567.55
20140311,735669,6545.3
20140312,735670,6549.25
20140313,735671,6519.6
20140314,735672,6538.85
20140318,735676,6547.5
20140319,735677,6550.2
20140320,735678,6502.55
