Ntime,Time,Close Price
20150107,735971,16960
20150108,735972,17250
20150109,735973,17210
20150113,735977,17090
20150114,735978,16760
20150115,735979,17160
20150116,735980,16800
20150119,735983,17040
20150120,735984,17390
20150121,735985,17210
20150122,735986,17360
20150123,735987,17510
20150126,735990,17440
20150127,735991,17700
20150128,735992,17850
20150129,735993,17610
20150130,735994,17670
20150202,735997,17530
20150203,735998,17330
20150204,735999,17660
20150205,736000,17480
20150206,736001,17660
20150209,736004,17690
20150210,736005,17640
20150212,736007,17870
20150213,736008,17960
20150216,736011,17990
20150217,736012,18000
20150218,736013,18180
20150219,736014,18260
20150220,736015,18360
20150223,736018,18460
20150224,736019,18620
20150225,736020,18630
20150226,736021,18800
20150227,736022,18820
20150302,736025,18860
20150303,736026,18820
20150304,736027,18650
20150305,736028,18760
20150306,736029,18990
20150309,736032,18790
20150310,736033,18670
20150311,736034,18650
20150312,736035,19010
20150313,736036,19200
20150316,736039,19250
20150317,736040,19400
20150318,736041,19480
20150319,736042,19440
20150320,736043,19500
20150323,736046,19690
20150324,736047,19640
20150325,736048,19650
20150326,736049,19290
20150327,736050,19320
20150330,736053,19430
20150331,736054,19210
20150401,736055,19120
20150402,736056,19350
20150403,736057,19480
20150406,736060,19390
20150407,736061,19680
20150408,736062,19820
20150409,736063,19920
20150410,736064,19970
20150413,736067,19930
20150414,736068,19910
20150415,736069,19870
20150416,736070,19880
20150417,736071,19690
20150420,736074,19600
20150421,736075,19970
20150422,736076,20160
20150423,736077,20170
20150424,736078,20050
20150427,736081,20000
20150428,736082,20040
20150430,736084,19510
20150501,736085,19540
20150507,736091,19240
20150508,736092,19380
20150511,736095,19640
20150512,736096,19670
20150513,736097,19780
20150514,736098,19550
20150515,736099,19760
20150518,736102,19890
20150519,736103,20030
20150520,736104,20230
20150521,736105,20180
20150522,736106,20280
20150525,736109,20430
20150526,736110,20470
20150527,736111,20480
20150528,736112,20570
20150529,736113,20560
20150601,736116,20570
20150602,736117,20540
20150603,736118,20490
20150604,736119,20500
20150605,736120,20460
20150608,736123,20450
20150609,736124,20050
20150610,736125,20110
20150611,736126,20450
20150612,736127,20390
20150615,736130,20340
20150616,736131,20230
20150617,736132,20240
20150618,736133,19960
20150619,736134,20170
20150622,736137,20450
20150623,736138,20830
20150624,736139,20820
20150625,736140,20760
20150626,736141,20760
20150629,736144,20110
20150630,736145,20230
20150701,736146,20400
20150702,736147,20540
20150703,736148,20540
20150706,736151,20200
20150707,736152,20420
20150708,736153,19660
20150709,736154,19860
20150710,736155,19860
20150713,736158,20090
20150714,736159,20430
20150715,736160,20450
20150716,736161,20560
20150717,736162,20640
20150721,736166,20840
20150722,736167,20560
20150723,736168,20670
20150724,736169,20520
20150727,736172,20350
20150728,736173,20300
20150729,736174,20300
20150730,736175,20560
20150731,736176,20570
20150803,736179,20500
20150804,736180,20450
20150805,736181,20600
20150806,736182,20650
20150807,736183,20710
20150810,736186,20790
20150811,736187,20670
20150812,736188,20340
20150813,736189,20630
20150814,736190,20510
20150817,736193,20630
20150818,736194,20560
20150819,736195,20230
20150820,736196,20040
20150821,736197,19430
20150824,736200,18410
20150825,736201,17670
20150826,736202,18440
20150827,736203,18570
20150828,736204,19180
20150831,736207,18840
20150901,736208,18110
20150902,736209,18250
20150903,736210,18230
20150904,736211,17760
20150907,736214,17870
20150908,736215,17460
20150909,736216,18580
20150910,736217,18270
20150911,736218,18170
20150914,736221,17820
20150915,736222,17880
20150916,736223,18140
20150917,736224,18360
20150918,736225,18000
20150924,736231,17450
20150925,736232,17770
20150928,736235,17690
20150929,736236,16940
20150930,736237,17390
20151001,736238,17690
20151002,736239,17670
20151005,736242,18070
20151006,736243,18170
20151007,736244,18380
20151008,736245,18100
20151009,736246,18420
20151013,736250,18210
20151014,736251,17940
20151015,736252,18100
20151016,736253,18290
20151019,736256,18130
20151020,736257,18210
20151021,736258,18540
20151022,736259,18450
20151023,736260,18800
20151026,736263,18940
20151027,736264,18840
20151028,736265,18930
20151029,736266,18900
20151030,736267,19090
20151102,736270,18740
20151104,736272,18900
20151105,736273,19140
20151106,736274,19260
20151109,736277,19620
20151110,736278,19700
20151111,736279,19740
20151112,736280,19680
20151113,736281,19630
20151116,736284,19410
20151117,736285,19680
20151118,736286,19690
20151119,736287,19880
20151120,736288,19890
20151124,736292,19960
