Close Price,Volume,EMA20,WVAD,US Dollar Index,Federal Fund Rate
850.08,743648.96,830.5602255,29427596.9,86.5,0.15
843.55,732786.0,831.7973469,17444217.43,86.28,0.15
851.92,656310.0,833.7137901000001,34158328.46,85.42,0.17
866.23,711444.0,836.810572,60599174.32,84.76,0.16
857.51,561346.0,838.7819461,39991492.42,85.72,0.17
855.16,632800.0,840.3417607000001,51008349.74,85.2,0.16
873.64,610162.0,843.5130216,55968254.08,84.66,0.18
872.81,686254.0,846.3032099999999,38061911.02,84.79,0.2
877.52,531217.0,849.2762376000001,51356813.55,84.51,0.22
907.24,703884.0,854.7965960000001,74555704.99,83.71,0.22
903.8,688286.0,859.4635867999999,66757097.07,84.16,0.2
919.53,855504.0,865.1841976,73722133.35,83.98,0.18
907.39,912010.0,869.2037978,55955592.53,83.84,0.18
929.23,816328.0,874.9205789999999,66015466.02,82.43,0.17
909.24,615060.0,878.1890953,56287662.88,82.8,0.17
908.35,687175.04,881.0615624,64923052.93,82.29,0.16
883.92,709182.0,881.3337945000001,44112610.13,82.57,0.16
893.07,613487.0,882.4515284,35836150.56,82.4,0.16
882.88,543972.0,882.4923352,26804349.89,82.94,0.17
909.71,570215.0,885.0844937999999,52122749.61,82.55,0.16
908.13,661627.0,887.2793039,41293691.42,82.1,0.15
903.47,820506.0,888.8212748999999,32220087.24,81.18,0.14
888.33,601984.0,888.7744868999999,19725314.15,80.49,0.17
887.0,515532.0,888.6054881000001,35440354.31,80.04,0.17
910.33,566705.0,890.6744892,32259029.92,80.09,0.18
893.06,569880.0,890.9016807,26367970.6,80.76,0.17
906.83,573898.0,892.4186635,27600943.21,80.56,0.17
919.14,605042.0,894.9635527,28131229.08,79.23,0.19
942.87,637044.0,899.5260715,42690723.34,79.19,0.21
944.74,598734.0,903.8321599,44212978.63,78.45,0.2
931.76,532377.0,906.4919542000001,29853307.55,79.5,0.21
942.46,535289.0,909.9174823999999,41431099.14,79.44,0.2
940.09,527791.0,912.7910555,34595593.06,80.67,0.21
939.14,448343.0,915.3004787999998,21401155.61,80.87,0.21
942.43,443995.0,917.8842427000001,25821338.29,79.81,0.18
939.15,537942.0,919.9095528999999,9579369.693,80.32,0.18
944.89,550084.0,922.2886431,20545228.26,79.6,0.17
946.21,452812.0,924.5668676000001,6577728.365,80.13,0.17
923.72,469788.0,924.4862135,11128894.08,81.16,0.22
911.97,495120.0,923.2941932,4422511.584,80.75,0.22
910.71,552365.0,922.0956986,17142028.03,80.29,0.24
918.37,468401.0,921.7408701999999,15308982.37,80.58,0.25
921.23,571339.0,921.6922159,24368887.99,80.36,0.25
893.04,490394.0,918.9634333999999,1136675.428,80.84,0.24
895.1,507102.0,916.6907255000001,4317543.058999999,79.85,0.24
900.94,463672.0,915.1906564,10258746.12,80.54,0.21
920.26,491124.0,915.673451,26185103.0,80.34,0.19
918.9,607666.0,915.9807413999999,27396305.71,79.9,0.18
927.23,421176.0,917.0520992999999,23850235.18,79.9,0.17
919.32,462757.0,917.2680899000001,27331794.86,80.16,0.22
923.33,391940.0,917.8454147,22180602.54,79.61,0.2
896.42,393100.0,915.804899,4035180.901,80.55,0.17
898.72,471258.0,914.1777657,-2668689.452,80.38,0.18
881.03,467330.0,911.0208357000001,-13854149.35,80.7,0.18
879.56,572178.0,908.0245656,-9258822.506000001,80.66,0.16
882.68,434717.0,905.6107975,-16733275.85,79.91,0.15
879.13,391208.0,903.0888167000002,-14035933.35,80.32,0.15
901.05,449944.0,902.8946437000001,-5487056.232000001,80.06,0.13
905.84,414903.0,903.1751537999999,-2369366.5719999997,80.03,0.13
932.68,523883.0,905.9851392,11232394.82,79.4,0.14
