Date,Ntime,Open Price,High Price,Low price,Closing Price,Volume,MACD,CCI,ATR,BOLL_MID,EMA20,MA5,MA10,MTM6,MTM12,ROC,SMI,WVAD,US dollar Index,Interbank Offered Rate
20130206,735271,5988.05,5990.9,5953.15,5959.2,157815926,12.36,-126.12,37.75,6025.13,6005.744343,5987.4,6021.145,-90.7,-123.1,-2.023905431,-0.009992773,-559320927.9,79.76,7.81
20130207,735272,5936.45,5978.5,5927.6,5938.8,157647191,5.91,-157.09,50.9,6023.64,5999.368691,5968.21,6013.09,-116.95,-109.7,-1.813672811,-0.022363428,-564174627.4,80.22,7.87
20130208,735273,5929.1,5953.7,5883.65,5903.5,192607376,-2.02,-200.39,70.05,6021.25,5990.23834,5949.13,5995.975,-131.25,-150.8,-2.490791669,-0.028198459,-543396988.2,80.23,7.82
20130211,735276,5920.05,5924.15,5879.1,5897.85,121958667,-8.66,-182.7,45.05,6014.94,5981.43945,5931.25,5978.28,-101.05,-121.5,-2.018490369,-0.025132647,-650538911.3,80.36,7.85
20130212,735277,5894.35,5927.65,5886.45,5922.5,142844560,-11.8,-138.01,41.2,6008.23,5975.826169,5924.37,5965.54,-64.75,-152.15,-2.504671051,-0.022003881,-479974014,80.04,7.88
20130213,735278,5943.15,5969.5,5922.95,5932.95,142636632,-13.29,-84.93,47,6004.79,5971.742725,5919.12,5953.26,-23.95,-141.85,-2.335056298,-0.016868967,-443596867.2,80.07,7.87
20130214,735279,5933.2,5940.2,5884.55,5896.95,143830565,-17.18,-111.32,55.65,5997.67,5964.619608,5910.75,5939.48,-62.25,-152.95,-2.528140961,-0.016994782,-437323531.9,80.37,7.86
20130215,735280,5869.95,5899.95,5853.9,5887.4,125091945,-20.79,-123.48,46.05,5988.82,5957.26536,5907.53,5928.33,-51.4,-168.35,-2.780002477,-0.016677106,-492374409,80.46,7.86
20130218,735283,5888.65,5911,5878.45,5898.2,114284193,-22.52,-95.65,32.55,5979.62,5951.640087,5907.6,5919.425,-5.3,-136.55,-2.262728365,-0.009854119,-510834505.8,80.65,7.92
20130219,735284,5900.2,5947.55,5883.15,5939.7,100984778,-20.31,-59.69,64.4,5974.18,5950.502936,5911.04,5917.705,41.85,-59.2,-0.986847589,-0.003272251,-353720004.1,80.47,7.92
20130220,735285,5966.3,5971,5937.55,5943.05,135354164,-18.08,-25.37,33.45,5968.62,5949.793133,5913.06,5916.09,20.55,-44.2,-0.738235417,0.000715121,-552121868.6,81.04,7.95
20130221,735286,5909.65,5921.15,5844.4,5852.25,159401234,-23.37,-108,98.65,5960.26,5940.50331,5904.12,5907.435,-80.7,-104.65,-1.756786248,-0.008681291,-695506131.3,81.37,7.93
20130222,735287,5837.95,5873.8,5835.8,5850.3,157046865,-27.4,-122.51,38,5949.04,5931.912519,5896.7,5902.115,-46.65,-108.9,-1.8274265,-0.00806226,-629030377.8,81.46,7.93
20130225,735290,5870.55,5878.4,5825,5854.75,125128736,-29.9,-116.06,53.4,5938.04,5924.563708,5888.01,5897.805,-32.65,-84.05,-1.415269078,-0.011439426,-598879634.7,81.8,7.92
20130226,735291,5838.3,5838.85,5748.6,5761.35,157360222,-38.96,-186.83,106.15,5923.62,5909.019545,5852.34,5881.69,-136.85,-142.15,-2.407893622,-0.028923217,-737132854.8,81.84,7.9
20130227,735292,5784.9,5818.2,5749.7,5796.9,175165933,-42.78,-166.83,68.5,5910.67,5898.341493,5823.11,5868.085,-142.8,-100.95,-1.711640683,-0.016966398,-619886476.4,81.54,7.9
20130228,735293,5834.35,5849.9,5671.9,5693.05,334852895,-53.57,-201.14,178,5893.59,5878.789922,5791.27,5847.695,-250,-229.45,-3.874208527,-0.033011176,-997673729.1,81.96,7.9
20130301,735294,5702.45,5739.45,5679.9,5719.7,174517984,-59.29,-191.36,59.55,5879.63,5863.638501,5765.15,5830.925,-132.55,-213.25,-3.594333342,-0.03026347,-916538255.9,82.27,7.9
