'Ntime', 'time', 'Close_Price', 'Open_Price', 'High_Price', 'Low_Price', 'Volume', 'MACD', 'CCI', 'ATR', 'BOLL', 'EMA20', 'MA10', 'MTM6', 'MA5', 'MTM12', 'ROC', 'SMI', 'WVAD', 'US_Dollar_Index', 'Federal_Fund_Rate' 
20120126.0000,734894.0000,1315.0450,1318.5550,1322.7750,1308.1250,410600.2500,18.2034,59.2877,14.6925,1286.5943,1296.8452,1312.3578,22.7500,1317.8335,24.8550,2.8694 ,0.0140 ,26640236.3825,79.1475,0.0925 
20120127.0000,734895.0000,1315.0450,1318.5550,1322.7750,1308.1250,410600.2500,18.2034,59.2877,14.6925,1286.5943,1296.8452,1312.3578,22.7500,1317.8335,24.8550,2.8694 ,0.0140 ,26640236.3825,79.1475,0.0925 
20120130.0000,734898.0000,1315.0450,1318.5550,1322.7750,1308.1250,410600.2500,18.2034,59.2877,14.6925,1286.5943,1296.8452,1312.3578,22.7500,1317.8335,24.8550,2.8694 ,0.0140 ,26640236.3825,79.1475,0.0925 
20120131.0000,734899.0000,1315.0450,1318.5550,1322.7750,1308.1250,410600.2500,18.2034,59.2877,14.6925,1286.5943,1296.8452,1312.3578,22.7500,1317.8335,24.8550,2.8694 ,0.0140 ,26640236.3825,79.1475,0.0925 
20120201.0000,734900.0000,1334.7150,1326.8050,1337.3525,1324.4375,415338.2500,17.5042,153.5825,13.2275,1297.8933,1306.1197,1320.0973,26.8175,1322.3435,33.3900,3.4506 ,0.0146 ,29384562.4575,78.9675,0.1100 
20120202.0000,734901.0000,1334.7150,1326.8050,1337.3525,1324.4375,415338.2500,17.5042,153.5825,13.2275,1297.8933,1306.1197,1320.0973,26.8175,1322.3435,33.3900,3.4506 ,0.0146 ,29384562.4575,78.9675,0.1100 
20120203.0000,734902.0000,1334.7150,1326.8050,1337.3525,1324.4375,415338.2500,17.5042,153.5825,13.2275,1297.8933,1306.1197,1320.0973,26.8175,1322.3435,33.3900,3.4506 ,0.0146 ,29384562.4575,78.9675,0.1100 
20120206.0000,734905.0000,1334.7150,1326.8050,1337.3525,1324.4375,415338.2500,17.5042,153.5825,13.2275,1297.8933,1306.1197,1320.0973,26.8175,1322.3435,33.3900,3.4506 ,0.0146 ,29384562.4575,78.9675,0.1100 
20120207.0000,734906.0000,1347.9000,1348.1375,1351.4425,1339.9625,398166.5000,19.5757,126.4900,11.6650,1310.6965,1319.3099,1331.3410,29.1375,1343.5905,29.8800,4.0921 ,0.0218 ,31796152.6350,78.6850,0.1125 
20120208.0000,734907.0000,1347.9000,1348.1375,1351.4425,1339.9625,398166.5000,19.5757,126.4900,11.6650,1310.6965,1319.3099,1331.3410,29.1375,1343.5905,29.8800,4.0921 ,0.0218 ,31796152.6350,78.6850,0.1125 
